2016-08-10T03:58:37+00:00;1;1;;-1;-1
2016-08-10T04:03:11+00:00;21;31;;-1;-1
2016-08-10T04:26:18+00:00;31;1;;-1;-1
2016-08-10T04:27:26+00:00;41;31;;-1;-1
2016-08-10T04:59:06+00:00;51;31;;-1;-1
2016-08-10T07:18:25+00:00;61;41;;-1;-1
2016-08-10T08:03:39+00:00;71;31;;-1;-1
2016-08-10T08:04:33+00:00;81;31;;-1;-1
2016-08-10T08:44:54+00:00;111;62;;-1;-1
2016-08-10T13:25:26+00:00;121;1;;81;31
2016-08-10T14:23:03+00:00;141;31;;-1;-1
2016-08-10T14:32:34+00:00;151;31;;81;31
2016-08-10T14:35:37+00:00;161;31;;121;1
2016-08-10T14:53:53+00:00;171;81;;-1;-1
2016-08-10T15:51:27+00:00;191;31;;-1;-1
2016-08-10T15:54:53+00:00;201;31;;171;81
2016-08-10T15:55:51+00:00;211;31;;-1;-1
2016-08-10T16:50:53+00:00;241;161;;-1;-1
2016-08-10T17:15:57+00:00;261;31;;-1;-1
2016-08-10T19:58:35+00:00;291;31;;-1;-1
2016-08-10T20:06:09+00:00;301;31;;-1;-1
2016-08-10T20:58:46+00:00;321;201;;-1;-1
2016-08-10T21:08:58+00:00;331;231;;-1;-1
2016-08-10T21:14:00+00:00;341;241;;-1;-1
2016-08-10T21:18:27+00:00;351;231;;-1;-1
2016-08-10T21:19:19+00:00;361;231;;261;31
